Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction,Customer_Profile,Cluster
2023/06/06 7:08:47 PM GMT+5:30,28,Others,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Multiple times a day,Keyword,First page,5.0,Yes,Sometimes,High shipping costs,Sometimes,No,3,Sometimes,2,5.0,2.0,All the above,Nothing,908063,At-Risk Customer,1
2023/06/12 3:27:59 PM GMT+5:30,47,Others,Few times a month,others,Sometimes,Rarely,Keyword,Multiple pages,1.0,Yes,Sometimes,Changed my mind or no longer need the item,Never,Yes,1,Sometimes,0,5.0,2.0,Competitive prices,UI,759344,At-Risk Customer,1
2023/06/07 5:58:12 PM GMT+5:30,8,Others,Once a month,Clothing and Fashion;others,Sometimes,Few times a month,Categories,First page,1.0,Yes,Never,Found a better price elsewhere,Never,No,2,Sometimes,0,1.0,3.0,User-friendly website/app interface,Reducing packaging waste,123738,Occasional Shopper,2
2023/06/07 10:57:14 AM GMT+5:30,43,Prefer not to say,Multiple times a week,Home and Kitchen,No,Rarely,Keyword,First page,3.0,Yes,Rarely,High shipping costs,Always,No,1,Sometimes,0,3.0,5.0,All the above,Nil,885971,Regular Customer,0
2023/06/04 7:13:12 PM GMT+5:30,43,Male,Less than once a month,others,Yes,Multiple times a day,Filter,Multiple pages,4.0,No,Sometimes,Found a better price elsewhere,Always,No,3,No,2,5.0,2.0,User-friendly website/app interface,Customer service responsiveness,566930,At-Risk Customer,1
2023/06/07 6:17:42 PM GMT+5:30,23,Male,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a month,Others,Multiple pages,2.0,Yes,Never,High shipping costs,Sometimes,Yes,0,No,1,3.0,1.0,Wide product selection,Quality of product is very poor according to the big offers,776650,At-Risk Customer,1
2023/06/06 6:34:44 PM GMT+5:30,19,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,No,Few times a week,Others,First page,2.0,Yes,Always,Found a better price elsewhere,Sometimes,Yes,4,No,0,3.0,2.0,All the above,Nil,837776,At-Risk Customer,1
2023/06/05 11:20:41 AM GMT+5:30,40,Female,Once a month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Rarely,Filter,First page,2.0,Yes,Often,Found a better price elsewhere,Often,No,3,Yes,2,3.0,3.0,Quick delivery,better app interface and lower shipping charges,269515,Occasional Shopper,2
2023/06/05 9:56:02 PM GMT+5:30,9,Others,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Rarely,Keyword,Multiple pages,3.0,No,Never,others,Rarely,Yes,0,Sometimes,2,3.0,4.0,.,No problems with Amazon,705210,Frequent Buyer,0
2023/06/09 2:34:43 PM GMT+5:30,60,Others,Once a week,Clothing and Fashion;others,Sometimes,Multiple times a day,Others,First page,4.0,No,Sometimes,Found a better price elsewhere,Often,Yes,3,No,0,3.0,3.0,All the above,Reducing packaging waste,996742,Regular Customer,2
2023/06/07 4:46:12 PM GMT+5:30,18,Prefer not to say,Once a week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a month,Filter,First page,4.0,Yes,Never,Changed my mind or no longer need the item,Always,Yes,3,Yes,2,5.0,5.0,Customer service,Shipping speed and reliability,202745,Frequent Buyer,0
2023/06/05 9:56:58 AM GMT+5:30,5,Male,Once a month,Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a week,Keyword,Multiple pages,3.0,Maybe,Always,High shipping costs,Rarely,Yes,1,No,2,1.0,1.0,All the above,Scrolling option would be much better than going to next page,956949,At-Risk Customer,2
2023/06/06 7:19:43 PM GMT+5:30,29,Others,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Yes,Rarely,Others,First page,4.0,Maybe,Never,others,Often,Yes,2,No,2,4.0,4.0,.,User interface of app,876679,Regular Customer,0
2023/06/11 11:20:57 PM GMT+5:30,46,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,No,Rarely,Keyword,First page,5.0,Maybe,Rarely,others,Often,Yes,2,Yes,2,3.0,2.0,Product recommendations,better app interface and lower shipping charges,838932,At-Risk Customer,1
2023/06/06 7:46:27 PM GMT+5:30,58,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,Keyword,Multiple pages,2.0,Maybe,Never,Found a better price elsewhere,Always,No,1,No,1,1.0,5.0,Quick delivery,I have no problem with Amazon yet. But others tell me about the refund issues ,451480,Occasional Shopper,0
2023/06/06 6:39:26 PM GMT+5:30,56,Others,Less than once a month,Beauty and Personal Care,Sometimes,Multiple times a day,Categories,First page,3.0,Maybe,Often,Changed my mind or no longer need the item,Always,No,1,Sometimes,0,1.0,1.0,Competitive prices,Scrolling option would be much better than going to next page,168831,At-Risk Customer,2
2023/06/06 7:40:11 PM GMT+5:30,59,Female,Once a month,others,Sometimes,Rarely,Filter,First page,5.0,Yes,Rarely,Found a better price elsewhere,Always,Yes,2,Yes,2,3.0,3.0,Competitive prices,Customer service responsiveness,637993,Occasional Shopper,2
2023/06/04 7:13:12 PM GMT+5:30,37,Male,Few times a month,Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Categories,Multiple pages,2.0,No,Often,High shipping costs,Always,Yes,2,Yes,2,1.0,3.0,Competitive prices,I have no problem with Amazon yet. But others tell me about the refund issues ,150709,Regular Customer,2
2023/06/08 5:33:12 PM GMT+5:30,28,Others,Once a week,others,Sometimes,Few times a month,Filter,First page,3.0,Maybe,Never,Found a better price elsewhere,Often,Yes,0,Yes,1,2.0,1.0,Customer service,Product quality and accuracy,928213,At-Risk Customer,2
2023/06/06 6:37:19 PM GMT+5:30,8,Others,Few times a month,others,Yes,Multiple times a day,Keyword,Multiple pages,3.0,No,Always,Changed my mind or no longer need the item,Rarely,No,4,Sometimes,2,1.0,1.0,Quick delivery,I don't have any problem with Amazon,896965,At-Risk Customer,2
2023/06/08 5:46:49 PM GMT+5:30,34,Others,Less than once a month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Few times a month,Keyword,Multiple pages,5.0,Maybe,Rarely,others,Sometimes,Yes,1,No,0,5.0,3.0,Wide product selection,I have no problem with Amazon yet. But others tell me about the refund issues ,556409,Regular Customer,1
2023/06/11 11:02:55 PM GMT+5:30,19,Others,Once a week,Groceries and Gourmet Food,Sometimes,Few times a month,Filter,First page,5.0,No,Always,Changed my mind or no longer need the item,Rarely,No,1,Sometimes,0,2.0,3.0,Customer service,better app interface and lower shipping charges,946186,Regular Customer,2
2023/06/07 4:46:12 PM GMT+5:30,30,Prefer not to say,Multiple times a week,Beauty and Personal Care;Home and Kitchen,No,Few times a month,Keyword,First page,5.0,Yes,Never,others,Never,No,2,Yes,1,4.0,5.0,Quick delivery,better app interface and lower shipping charges,683291,Regular Customer,0
2023/06/06 3:02:38 PM GMT+5:30,37,Male,Multiple times a week,Home and Kitchen,No,Few times a month,Filter,Multiple pages,3.0,No,Never,Changed my mind or no longer need the item,Never,Yes,0,Sometimes,1,1.0,3.0,Competitive prices,User interface ,364986,Regular Customer,2
2023/06/06 7:22:31 PM GMT+5:30,15,Male,Multiple times a week,Clothing and Fashion,Sometimes,Few times a week,Others,Multiple pages,3.0,Yes,Rarely,Found a better price elsewhere,Always,Yes,2,Sometimes,1,3.0,4.0,User-friendly website/app interface,User interface ,785612,Regular Customer,0
2023/06/07 9:32:38 AM GMT+5:30,64,Female,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Multiple times a day,Others,Multiple pages,5.0,Yes,Often,Changed my mind or no longer need the item,Always,Yes,0,Sometimes,2,3.0,3.0,Customer service ,.,970525,Regular Customer,2
2023/06/07 12:50:13 PM GMT+5:30,58,Male,Once a month,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Few times a month,Keyword,First page,4.0,Yes,Rarely,Changed my mind or no longer need the item,Always,Yes,1,Sometimes,1,2.0,4.0,Product recommendations,I have no problem with Amazon yet. But others tell me about the refund issues ,272690,Occasional Shopper,0
2023/06/11 11:22:19 PM GMT+5:30,50,Female,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Keyword,First page,2.0,Yes,Rarely,Changed my mind or no longer need the item,Never,Yes,0,Yes,1,4.0,5.0,Wide product selection,.,861433,Regular Customer,0
2023/06/08 5:16:17 PM GMT+5:30,5,Female,Multiple times a week,Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Categories,First page,5.0,No,Rarely,others,Rarely,No,4,Sometimes,0,1.0,4.0,Wide product selection,Reducing packaging waste,253557,Regular Customer,0
2023/06/11 11:03:34 PM GMT+5:30,27,Male,Less than once a month,others,No,Few times a week,Categories,Multiple pages,3.0,Yes,Always,High shipping costs,Often,No,0,No,1,1.0,1.0,All the above,User interface of app,660454,At-Risk Customer,2
2023/06/08 5:28:47 PM GMT+5:30,29,Female,Less than once a month,Clothing and Fashion;others,Yes,Few times a month,Filter,First page,1.0,Maybe,Always,Changed my mind or no longer need the item,Often,No,0,Sometimes,0,5.0,5.0,Customer service ,Irrelevant product suggestions,276608,Regular Customer,0
2023/06/11 11:22:55 PM GMT+5:30,46,Prefer not to say,Less than once a month,others,Yes,Few times a week,Filter,Multiple pages,3.0,Maybe,Often,Found a better price elsewhere,Sometimes,Yes,3,No,1,5.0,5.0,.,I have no problem with Amazon yet. But others tell me about the refund issues ,683635,Regular Customer,0
2023/06/11 10:49:05 PM GMT+5:30,52,Prefer not to say,Once a week,Groceries and Gourmet Food;Clothing and Fashion;others,Sometimes,Few times a month,Keyword,First page,1.0,Maybe,Always,High shipping costs,Never,No,2,No,0,1.0,4.0,Customer service,Scrolling option would be much better than going to next page,883728,Frequent Buyer,0
2023/06/06 9:08:20 PM GMT+5:30,36,Female,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;others,Yes,Rarely,Categories,Multiple pages,4.0,No,Never,Found a better price elsewhere,Sometimes,Yes,3,Sometimes,1,2.0,2.0,Competitive prices,.,991974,At-Risk Customer,2
2023/06/07 10:10:26 PM GMT+5:30,64,Others,Once a week,Beauty and Personal Care;Home and Kitchen,Yes,Multiple times a day,Keyword,First page,5.0,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,4,Yes,1,3.0,1.0,Quick delivery,No problems with Amazon,250348,At-Risk Customer,1
2023/06/12 3:33:53 PM GMT+5:30,47,Female,Less than once a month,Beauty and Personal Care,Yes,Multiple times a day,Others,Multiple pages,5.0,Yes,Sometimes,others,Never,Yes,3,No,2,1.0,4.0,Product recommendations,.,373880,Regular Customer,0
2023/06/05 4:46:52 PM GMT+5:30,45,Prefer not to say,Less than once a month,Beauty and Personal Care,Sometimes,Multiple times a day,Keyword,Multiple pages,4.0,No,Rarely,High shipping costs,Always,Yes,3,No,1,4.0,4.0,All the above,Add more familiar brands to the list,439765,Regular Customer,0
2023/06/12 3:45:27 PM GMT+5:30,18,Others,Once a week,Groceries and Gourmet Food;Home and Kitchen,No,Rarely,Others,Multiple pages,2.0,No,Rarely,Changed my mind or no longer need the item,Sometimes,Yes,1,Yes,1,5.0,5.0,Quick delivery,I have no problem with Amazon yet. But others tell me about the refund issues ,890836,Frequent Buyer,0
2023/06/07 11:03:50 PM GMT+5:30,6,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen;others,Yes,Rarely,Others,First page,4.0,Yes,Sometimes,others,Sometimes,Yes,1,Yes,1,3.0,1.0,Customer service ,Nothing,373037,At-Risk Customer,1
2023/06/09 7:26:02 PM GMT+5:30,58,Prefer not to say,Once a month,Groceries and Gourmet Food,No,Rarely,Keyword,Multiple pages,2.0,Yes,Always,Found a better price elsewhere,Sometimes,Yes,1,No,0,3.0,3.0,Quick delivery,Add more familiar brands to the list,515270,Occasional Shopper,2
2023/06/11 11:08:35 PM GMT+5:30,6,Prefer not to say,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,Keyword,Multiple pages,1.0,Yes,Often,High shipping costs,Always,Yes,1,Sometimes,1,4.0,5.0,User-friendly website/app interface,I have no problem with Amazon yet. But others tell me about the refund issues ,586526,Regular Customer,0
2023/06/10 11:21:59 PM GMT+5:30,56,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Filter,Multiple pages,3.0,Maybe,Always,Changed my mind or no longer need the item,Sometimes,Yes,2,No,1,1.0,4.0,.,Shipping speed and reliability,676047,Regular Customer,0
2023/06/12 3:59:59 PM GMT+5:30,12,Male,Once a week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Rarely,Categories,Multiple pages,3.0,Maybe,Often,High shipping costs,Never,Yes,2,Yes,2,3.0,3.0,Competitive prices,No problems with Amazon,984496,Regular Customer,2
2023/06/09 9:31:57 AM GMT+5:30,6,Male,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,No,Rarely,Keyword,Multiple pages,2.0,No,Sometimes,Changed my mind or no longer need the item,Rarely,Yes,4,Yes,2,3.0,4.0,All the above,Product quality and accuracy,225976,Regular Customer,0
2023/06/12 3:38:48 PM GMT+5:30,20,Others,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Rarely,Filter,First page,1.0,Yes,Rarely,others,Often,No,0,No,2,4.0,5.0,Customer service,Scrolling option would be much better than going to next page,203062,Regular Customer,0
2023/06/05 2:28:10 PM GMT+5:30,66,Prefer not to say,Once a week,Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Filter,Multiple pages,1.0,Maybe,Often,others,Sometimes,No,2,Yes,2,4.0,5.0,All the above,I don't have any problem with Amazon,800248,Frequent Buyer,0
2023/06/07 6:29:53 PM GMT+5:30,37,Others,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;others,No,Few times a month,Keyword,Multiple pages,4.0,No,Rarely,Found a better price elsewhere,Sometimes,Yes,3,Yes,1,3.0,3.0,Wide product selection,User interface of app,832869,Regular Customer,2
2023/06/06 11:49:21 AM GMT+5:30,59,Prefer not to say,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,Categories,Multiple pages,3.0,No,Rarely,High shipping costs,Rarely,Yes,2,Sometimes,1,2.0,4.0,Customer service,I have no problem with Amazon yet. But others tell me about the refund issues ,985385,Regular Customer,0
2023/06/11 10:52:47 PM GMT+5:30,62,Male,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,Filter,First page,1.0,No,Often,others,Never,No,4,Yes,2,1.0,3.0,Competitive prices,Add more familiar brands to the list,925814,Occasional Shopper,2
2023/06/09 8:10:05 AM GMT+5:30,46,Prefer not to say,Once a month,Beauty and Personal Care;Home and Kitchen,No,Rarely,Keyword,Multiple pages,5.0,Yes,Never,Found a better price elsewhere,Rarely,Yes,3,Sometimes,2,4.0,5.0,User-friendly website/app interface,.,510424,Occasional Shopper,0
2023/06/08 5:11:27 PM GMT+5:30,63,Prefer not to say,Once a month,Beauty and Personal Care,Sometimes,Few times a week,Filter,Multiple pages,5.0,No,Always,Found a better price elsewhere,Often,No,3,Yes,2,5.0,1.0,Customer service,Irrelevant product suggestions,303719,At-Risk Customer,1
2023/06/11 11:02:55 PM GMT+5:30,27,Male,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Keyword,First page,2.0,No,Rarely,Found a better price elsewhere,Sometimes,No,3,No,0,2.0,4.0,Product recommendations,Product quality and accuracy,339797,Regular Customer,0
2023/06/06 6:46:21 PM GMT+5:30,37,Prefer not to say,Once a week,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Multiple times a day,Filter,First page,4.0,Maybe,Never,High shipping costs,Rarely,No,0,Yes,1,5.0,4.0,Wide product selection,I have no problem with Amazon yet. But others tell me about the refund issues ,380939,Frequent Buyer,1
2023/06/09 3:10:36 PM GMT+5:30,32,Female,Once a week,Clothing and Fashion,Sometimes,Few times a month,Categories,Multiple pages,1.0,Maybe,Always,High shipping costs,Always,Yes,4,Yes,1,3.0,1.0,Customer service ,Nothing,744158,At-Risk Customer,1
2023/06/08 5:23:05 PM GMT+5:30,58,Prefer not to say,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Few times a month,Categories,First page,4.0,Maybe,Rarely,Found a better price elsewhere,Never,No,3,Sometimes,1,3.0,2.0,All the above,I don't have any problem with Amazon,644781,At-Risk Customer,1
2023/06/04 7:45:33 PM GMT+5:30,7,Others,Once a week,Clothing and Fashion;Home and Kitchen;others,Sometimes,Rarely,Categories,Multiple pages,5.0,Yes,Rarely,High shipping costs,Always,No,2,No,0,3.0,1.0,Product recommendations,I have no problem with Amazon yet. But others tell me about the refund issues ,119216,At-Risk Customer,1
2023/06/08 5:17:10 PM GMT+5:30,37,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Multiple times a day,Keyword,First page,1.0,No,Rarely,others,Sometimes,No,3,No,1,5.0,1.0,Competitive prices,Irrelevant product suggestions,565729,At-Risk Customer,1
2023/06/06 4:46:25 PM GMT+5:30,29,Prefer not to say,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,Others,First page,1.0,Yes,Never,others,Rarely,No,3,No,0,2.0,1.0,All the above,Product quality and accuracy,427641,At-Risk Customer,2
2023/06/08 5:43:45 PM GMT+5:30,25,Male,Few times a month,Clothing and Fashion;others,No,Rarely,Categories,First page,3.0,No,Always,High shipping costs,Rarely,No,1,No,0,3.0,3.0,Wide product selection,Scrolling option would be much better than going to next page,297515,Regular Customer,2
2023/06/12 3:27:59 PM GMT+5:30,44,Others,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Rarely,Categories,Multiple pages,4.0,No,Never,Changed my mind or no longer need the item,Rarely,No,1,Sometimes,1,1.0,1.0,Competitive prices,Shipping speed and reliability,720366,At-Risk Customer,2
2023/06/12 4:03:59 PM GMT+5:30,24,Male,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Rarely,Categories,First page,5.0,Maybe,Often,others,Rarely,No,4,No,1,2.0,5.0,All the above,Shipping speed and reliability,372403,Occasional Shopper,0
2023/06/07 9:32:38 AM GMT+5:30,43,Female,Once a week,Home and Kitchen;others,No,Multiple times a day,Filter,Multiple pages,4.0,No,Sometimes,High shipping costs,Never,Yes,0,No,1,5.0,4.0,All the above,Customer service responsiveness,242483,Frequent Buyer,1
2023/06/07 11:10:09 PM GMT+5:30,3,Prefer not to say,Less than once a month,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Rarely,Categories,First page,5.0,Maybe,Always,High shipping costs,Sometimes,Yes,2,No,0,3.0,1.0,Customer service ,User interface of app,338389,At-Risk Customer,1
2023/06/07 2:19:05 PM GMT+5:30,45,Male,Few times a month,others,No,Few times a week,Filter,First page,3.0,Maybe,Always,others,Always,Yes,4,No,0,3.0,4.0,.,Reducing packaging waste,214786,Regular Customer,0
2023/06/11 11:16:58 PM GMT+5:30,50,Female,Few times a month,others,No,Multiple times a day,Others,First page,1.0,Yes,Never,High shipping costs,Always,No,2,Sometimes,0,5.0,3.0,Customer service ,User interface ,903980,Regular Customer,1
2023/06/08 5:16:17 PM GMT+5:30,21,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;others,Yes,Multiple times a day,Keyword,First page,3.0,No,Always,High shipping costs,Rarely,Yes,1,Sometimes,2,3.0,3.0,.,Irrelevant product suggestions,474482,Regular Customer,2
2023/06/05 3:28:01 PM GMT+5:30,65,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Yes,Rarely,Filter,Multiple pages,5.0,No,Sometimes,others,Always,No,3,Sometimes,1,2.0,4.0,Wide product selection,Shipping speed and reliability,320600,Regular Customer,0
2023/06/06 7:42:13 PM GMT+5:30,3,Prefer not to say,Once a week,Groceries and Gourmet Food;Beauty and Personal Care,Yes,Rarely,Keyword,Multiple pages,3.0,No,Rarely,others,Always,Yes,3,No,2,5.0,1.0,All the above,Shipping speed and reliability,221456,At-Risk Customer,1
2023/06/12 2:51:24 PM GMT+5:30,56,Prefer not to say,Once a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Few times a week,Filter,Multiple pages,1.0,Maybe,Always,High shipping costs,Never,Yes,4,Yes,1,1.0,2.0,Customer service ,Add more familiar brands to the list,325265,At-Risk Customer,2
2023/06/11 9:15:38 PM GMT+5:30,36,Prefer not to say,Less than once a month,Beauty and Personal Care;Clothing and Fashion;others,Yes,Rarely,Categories,First page,2.0,Maybe,Rarely,Changed my mind or no longer need the item,Often,No,1,No,0,5.0,3.0,Product recommendations,Scrolling option would be much better than going to next page,296652,Regular Customer,1
2023/06/07 9:54:56 PM GMT+5:30,32,Female,Few times a month,others,Yes,Few times a month,Filter,First page,2.0,Maybe,Rarely,Changed my mind or no longer need the item,Always,Yes,3,Yes,1,1.0,2.0,All the above,I have no problem with Amazon yet. But others tell me about the refund issues ,846303,At-Risk Customer,2
